gene_id	gene_name	mean_methylation	median_methylation	n_sites	mean_cov
ENSG00000286032.1	ENSG00000286032	0.39814814814814814	0.0	108	1.0
ENSG00000286091.1	ENSG00000286091	0.39814814814814814	0.0	108	1.0
ENSG00000241695.1	GM2AP1	0.07547169811320754	0.0	106	1.0
ENSG00000281912.1	LINC01144	0.06666666666666667	0.0	105	1.0
ENSG00000224519.1	HMGN1P19	0.009615384615384616	0.0	104	1.0
ENSG00000284649.3	ENSG00000284649	0.05825242718446602	0.0	103	1.0
ENSG00000182240.16	BACE2	0.04854368932038835	0.0	103	1.0
ENSG00000263681.1	MIR3197	0.04854368932038835	0.0	103	1.0
ENSG00000286012.1	ENSG00000286012	0.13725490196078433	0.0	102	1.0
ENSG00000286057.1	ENSG00000286057	0.13725490196078433	0.0	102	1.0
ENSG00000206726.1	RNU6-259P	0.0	0.0	101	1.0
ENSG00000164821.5	DEFA4	0.02	0.0	100	1.0
ENSG00000283148.1	ENSG00000283148	0.030303030303030304	0.0	99	1.0
ENSG00000214049.8	UCA1	0.01020408163265306	0.0	98	1.0
ENSG00000252190.1	ENSG00000252190	0.061855670103092786	0.0	97	1.0
ENSG00000252691.1	ENSG00000252691	0.061855670103092786	0.0	97	1.0
ENSG00000201346.2	U3	0.010309278350515464	0.0	97	1.0
ENSG00000275708.1	MIR3648-1	0.375	0.0	96	1.0
ENSG00000293403.1	ENSG00000293403	0.07291666666666667	0.0	96	1.0
ENSG00000235522.6	ENSG00000235522	0.041666666666666664	0.0	96	1.0
ENSG00000112312.10	GMNN	0.11578947368421053	0.0	95	1.0
ENSG00000227077.3	ENSG00000227077	0.031578947368421054	0.0	95	1.0
ENSG00000289320.1	ENSG00000289320	0.0	0.0	95	1.0
ENSG00000064601.21	CTSA	0.07446808510638298	0.0	94	1.0
ENSG00000149634.5	SPATA25	0.07446808510638298	0.0	94	1.0
ENSG00000072756.18	TRNT1	0.08602150537634409	0.0	93	1.0
ENSG00000091181.20	IL5RA	0.08602150537634409	0.0	93	1.0
ENSG00000261098.1	ENSG00000261098	0.053763440860215055	0.0	93	1.0
ENSG00000281627.1	DUX4L3	0.0	0.0	93	1.0
ENSG00000271483.1	ENSG00000271483	0.06521739130434782	0.0	92	1.0
ENSG00000258954.1	ENSG00000258954	0.03260869565217391	0.0	92	1.0
ENSG00000259244.1	ENSG00000259244	0.08791208791208792	0.0	91	1.0
ENSG00000200305.1	Y_RNA	0.02197802197802198	0.0	91	1.0
ENSG00000226474.1	ENSG00000226474	0.02197802197802198	0.0	91	1.0
ENSG00000200487.1	RNA5SP322	0.011111111111111112	0.0	90	1.0
ENSG00000213608.5	SLC25A14P1	0.09090909090909091	0.0	88	1.0
ENSG00000074935.14	TUBE1	0.022727272727272728	0.0	88	1.0
ENSG00000203778.8	FAM229B	0.022727272727272728	0.0	88	1.0
ENSG00000227962.1	ENSG00000227962	0.0	0.0	88	1.0
ENSG00000258140.2	ENSG00000258140	0.0	0.0	88	1.0
ENSG00000281652.1	DUX4L7	0.13793103448275862	0.0	87	1.0
ENSG00000111907.21	TPD52L1	0.04597701149425287	0.0	87	1.0
ENSG00000136052.10	SLC41A2	0.034482758620689655	0.0	87	1.0
ENSG00000201321.1	RNA5S9	0.32558139534883723	0.0	86	1.0
ENSG00000173338.13	KCNK7	0.0	0.0	85	1.0
ENSG00000266835.7	GAPLINC	0.0	0.0	85	1.0
ENSG00000163794.6	UCN	0.08333333333333333	0.0	84	1.0
ENSG00000255811.1	ENSG00000255811	0.05952380952380952	0.0	84	1.0
ENSG00000289167.1	ENSG00000289167	0.011904761904761904	0.0	84	1.0
ENSG00000024048.11	UBR2	0.0	0.0	84	1.0
ENSG00000160360.13	GPSM1	0.30120481927710846	0.0	83	1.0
ENSG00000262075.3	DKFZP434A062	0.30120481927710846	0.0	83	1.0
ENSG00000249958.1	CCT7P2	0.012048192771084338	0.0	83	1.0
ENSG00000159527.4	PGLYRP3	0.0	0.0	83	1.0
ENSG00000225516.8	FAM197Y5	0.0	0.0	83	1.0
ENSG00000259769.1	ENSG00000259769	0.0	0.0	83	1.0
ENSG00000290330.1	FAM197Y5	0.0	0.0	83	1.0
ENSG00000111879.20	FAM184A	0.04878048780487805	0.0	82	1.0
ENSG00000102978.13	POLR2C	0.024691358024691357	0.0	81	1.0
ENSG00000260345.1	ENSG00000260345	0.024691358024691357	0.0	81	1.0
ENSG00000115507.10	OTX1	0.0	0.0	81	1.0
ENSG00000227191.8	TRGC2	0.0	0.0	81	1.0
ENSG00000231609.7	EHBP1-AS1	0.0	0.0	81	1.0
ENSG00000289222.2	ENSG00000289222	0.0	0.0	81	1.0
ENSG00000204248.12	COL11A2	0.025	0.0	80	1.0
ENSG00000265322.1	MIR3118-2	0.0	0.0	79	1.0
ENSG00000122674.12	CCZ1	0.038461538461538464	0.0	78	1.0
ENSG00000215811.7	BTNL10P	0.038461538461538464	0.0	78	1.0
ENSG00000230635.2	CYP4F60P	0.038461538461538464	0.0	78	1.0
ENSG00000255839.1	ENSG00000255839	0.038461538461538464	0.0	78	1.0
ENSG00000293430.1	ENSG00000293430	0.038461538461538464	0.0	78	1.0
ENSG00000266994.1	ENSG00000266994	0.1038961038961039	0.0	77	1.0
ENSG00000175509.8	ACRP1	0.05194805194805195	0.0	77	1.0
ENSG00000233479.1	ENSG00000233479	0.05194805194805195	0.0	77	1.0
ENSG00000248235.6	ENSG00000248235	0.06578947368421052	0.0	76	1.0
ENSG00000165071.15	TMEM71	0.0	0.0	76	1.0
ENSG00000252332.1	RNU6-911P	0.16	0.0	75	1.0
ENSG00000172940.13	SLC22A13	0.05333333333333334	0.0	75	1.0
ENSG00000259508.1	ENSG00000259508	0.06756756756756757	0.0	74	1.0
ENSG00000256683.7	ZNF350	0.05405405405405406	0.0	74	1.0
ENSG00000263361.1	MIR378H	0.05405405405405406	0.0	74	1.0
ENSG00000230062.7	ANKRD66	0.013513513513513514	0.0	74	1.0
ENSG00000224008.1	LINC01441	0.0	0.0	74	1.0
ENSG00000202058.1	RN7SKP80	0.1232876712328767	0.0	73	1.0
ENSG00000124787.14	RPP40	0.0684931506849315	0.0	73	1.0
ENSG00000228339.1	AMD1P1	0.0684931506849315	0.0	73	1.0
ENSG00000272142.4	LYRM4-AS1	0.0684931506849315	0.0	73	1.0
ENSG00000253896.3	ENSG00000253896	0.0273972602739726	0.0	73	1.0
ENSG00000207322.1	RNU1-89P	0.0	0.0	73	1.0
ENSG00000254174.1	IGHV1-12	0.0	0.0	73	1.0
ENSG00000254215.1	IGHVIII-11-1	0.0	0.0	73	1.0
ENSG00000132010.16	ZNF20	0.125	0.0	72	1.0
ENSG00000135702.15	CHST5	0.1111111111111111	0.0	72	1.0
ENSG00000072832.15	CRMP1	0.09722222222222222	0.0	72	1.0
ENSG00000289414.2	ENSG00000289414	0.09722222222222222	0.0	72	1.0
ENSG00000138175.9	ARL3	0.027777777777777776	0.0	72	1.0
ENSG00000155827.12	RNF20	0.027777777777777776	0.0	72	1.0
ENSG00000165152.9	PGAP4	0.027777777777777776	0.0	72	1.0
ENSG00000276673.1	ENSG00000276673	0.027777777777777776	0.0	72	1.0
ENSG00000259833.5	ENSG00000259833	0.0	0.0	72	1.0
ENSG00000161944.17	ASGR2	0.08450704225352113	0.0	71	1.0
ENSG00000156398.13	SFXN2	0.028169014084507043	0.0	71	1.0
ENSG00000185775.10	SPATA31A6	0.014084507042253521	0.0	71	1.0
ENSG00000212625.1	RNA5SP397	0.014084507042253521	0.0	71	1.0
ENSG00000235578.1	ENSG00000235578	0.014084507042253521	0.0	71	1.0
ENSG00000212612.1	RNU6-1239P	0.0	0.0	71	1.0
ENSG00000257943.3	ENSG00000257943	0.0	0.0	71	1.0
ENSG00000237556.1	KCND3-AS1	0.014285714285714285	0.0	70	1.0
ENSG00000101346.15	POFUT1	0.07246376811594203	0.0	69	1.0
ENSG00000126003.7	PLAGL2	0.07246376811594203	0.0	69	1.0
ENSG00000240174.1	ENSG00000240174	0.028985507246376812	0.0	69	1.0
ENSG00000265927.1	ENSG00000265927	0.028985507246376812	0.0	69	1.0
ENSG00000199562.1	RNU6-37P	0.014492753623188406	0.0	69	1.0
ENSG00000285823.1	LINC02793	0.04411764705882353	0.0	68	1.0
ENSG00000008118.10	CAMK1G	0.014705882352941176	0.0	68	1.0
ENSG00000171202.7	TMEM126A	0.014705882352941176	0.0	68	1.0
ENSG00000125731.13	SH2D3A	0.05970149253731343	0.0	67	1.0
ENSG00000169800.14	RBMY1F	0.16666666666666666	0.0	66	1.0
ENSG00000277553.1	ENSG00000277553	0.09230769230769231	0.0	65	1.0
ENSG00000260165.1	ENSG00000260165	0.03076923076923077	0.0	65	1.0
ENSG00000280725.2	LINC00251	0.0	0.0	65	1.0
ENSG00000244712.1	RPL29P27	0.078125	0.0	64	1.0
ENSG00000229343.1	CDY22P	0.046875	0.0	64	1.0
ENSG00000230291.5	ENSG00000230291	0.046875	0.0	64	1.0
ENSG00000141026.6	MED9	0.03125	0.0	64	1.0
ENSG00000214110.3	LDHAP4	0.03125	0.0	64	1.0
ENSG00000129595.14	EPB41L4A	0.015625	0.0	64	1.0
ENSG00000278921.2	EPB41L4A-DT	0.015625	0.0	64	1.0
ENSG00000237399.7	PITRM1-AS1	0.12698412698412698	0.0	63	1.0
ENSG00000286054.1	ENSG00000286054	0.07936507936507936	0.0	63	1.0
ENSG00000219298.1	ENSG00000219298	0.015873015873015872	0.0	63	1.0
ENSG00000231120.3	BTF3P10	0.015873015873015872	0.0	63	1.0
ENSG00000234269.2	ENSG00000234269	0.0	0.0	63	1.0
ENSG00000244623.2	OR2AE1	0.0	0.0	63	1.0
ENSG00000113368.12	LMNB1	0.0	0.0	62	1.0
ENSG00000135100.19	HNF1A	0.09836065573770492	0.0	61	1.0
ENSG00000251532.1	ENSG00000251532	0.16666666666666666	0.0	60	1.0
ENSG00000229882.1	ENSG00000229882	0.06666666666666667	0.0	60	1.0
ENSG00000232121.1	ENSG00000232121	0.06666666666666667	0.0	60	1.0
ENSG00000286118.1	ENSG00000286118	0.0	0.0	60	1.0
ENSG00000225578.1	NCBP2-AS1	0.05084745762711865	0.0	59	1.0
ENSG00000263829.1	SINHCAFP1	0.03389830508474576	0.0	59	1.0
ENSG00000211997.1	MIR708	0.0	0.0	59	1.0
ENSG00000236403.2	ENSG00000236403	0.1206896551724138	0.0	58	1.0
ENSG00000207234.1	RNU6-125P	0.08620689655172414	0.0	58	1.0
ENSG00000286807.1	ENSG00000286807	0.0	0.0	58	1.0
ENSG00000213331.4	ENSG00000213331	0.15789473684210525	0.0	57	1.0
ENSG00000139637.14	MYG1	0.10526315789473684	0.0	57	1.0
ENSG00000257605.4	MYG1-AS1	0.10526315789473684	0.0	57	1.0
ENSG00000148377.6	IDI2	0.0	0.0	57	1.0
ENSG00000286400.1	ENSG00000286400	0.0	0.0	57	1.0
ENSG00000287489.1	ENSG00000287489	0.05357142857142857	0.0	56	1.0
ENSG00000222488.1	RNU6-285P	0.03571428571428571	0.0	56	1.0
ENSG00000252035.1	RNU6-397P	0.03571428571428571	0.0	56	1.0
ENSG00000278202.1	ENSG00000278202	0.03571428571428571	0.0	56	1.0
ENSG00000288084.1	ENSG00000288084	0.017857142857142856	0.0	56	1.0
ENSG00000281379.3	SEPTIN14P19	0.05454545454545454	0.0	55	1.0
ENSG00000229938.1	MYO16-AS2	0.07407407407407407	0.0	54	1.0
ENSG00000135678.12	CPM	0.0	0.0	54	1.0
ENSG00000155052.15	CNTNAP5	0.09433962264150944	0.0	53	1.0
ENSG00000228400.2	CNTNAP5-DT	0.09433962264150944	0.0	53	1.0
ENSG00000258256.1	ENSG00000258256	0.07547169811320754	0.0	53	1.0
ENSG00000232403.1	RPL27P5	0.018867924528301886	0.0	53	1.0
ENSG00000254095.1	ENSG00000254095	0.057692307692307696	0.0	52	1.0
ENSG00000267710.9	EDDM13	0.057692307692307696	0.0	52	1.0
ENSG00000244071.1	RPL9P33	0.038461538461538464	0.0	52	1.0
ENSG00000238500.1	RNU7-87P	0.019230769230769232	0.0	52	1.0
ENSG00000124743.6	KLHL31	0.0	0.0	52	1.0
ENSG00000286148.1	ENSG00000286148	0.47058823529411764	0.0	51	1.0
ENSG00000207294.1	Y_RNA	0.0392156862745098	0.0	51	1.0
ENSG00000271644.1	ENSG00000271644	0.14	0.0	50	1.0
ENSG00000164318.18	EGFLAM	0.0	0.0	50	1.0
ENSG00000214657.4	RPLP1P5	0.0	0.0	50	1.0
ENSG00000227150.1	ENSG00000227150	0.0	0.0	50	1.0
ENSG00000235728.1	ENSG00000235728	0.0	0.0	50	1.0
ENSG00000260479.1	ENSG00000260479	0.0	0.0	50	1.0
ENSG00000259702.3	ENSG00000259702	0.02040816326530612	0.0	49	1.0
ENSG00000286738.1	ENSG00000286738	0.02040816326530612	0.0	49	1.0
ENSG00000281162.4	LINC01127	0.0	0.0	49	1.0
ENSG00000256988.2	ENSG00000256988	0.10416666666666667	0.0	48	1.0
ENSG00000229315.7	MCHR2-AS1	0.0625	0.0	48	1.0
ENSG00000290065.1	ENSG00000290065	0.02127659574468085	0.0	47	1.0
ENSG00000283145.1	ENSG00000283145	0.0	0.0	47	1.0
ENSG00000252121.1	RNU6-970P	0.08695652173913043	0.0	46	1.0
ENSG00000104365.16	IKBKB	0.021739130434782608	0.0	46	1.0
ENSG00000228751.1	ENSG00000228751	0.021739130434782608	0.0	46	1.0
ENSG00000253408.6	IKBKB-DT	0.021739130434782608	0.0	46	1.0
ENSG00000249153.1	ENSG00000249153	0.0	0.0	46	1.0
ENSG00000199334.1	RNA5S11	0.2	0.0	45	1.0
ENSG00000237566.1	CD24P5	0.06666666666666667	0.0	45	1.0
ENSG00000250174.5	MYLK-AS2	0.022222222222222223	0.0	45	1.0
ENSG00000198695.2	MT-ND6	0.0	0.0	45	1.0
ENSG00000198727.2	MT-CYB	0.0	0.0	45	1.0
ENSG00000210194.1	MT-TE	0.0	0.0	45	1.0
ENSG00000280457.1	DUX4L2	0.0	0.0	45	1.0
ENSG00000224128.1	LINC01248	0.045454545454545456	0.0	44	1.0
ENSG00000230090.5	ENSG00000230090	0.045454545454545456	0.0	44	1.0
ENSG00000180104.16	EXOC3	0.0	0.0	44	1.0
ENSG00000221788.1	MIR1252	0.0	0.0	44	1.0
ENSG00000221990.5	EXOC3-AS1	0.0	0.0	44	1.0
ENSG00000279031.1	ENSG00000279031	0.11627906976744186	0.0	43	1.0
ENSG00000148019.14	CEP78	0.023255813953488372	0.0	43	1.0
ENSG00000289440.1	ENSG00000289440	0.023255813953488372	0.0	43	1.0
ENSG00000253286.6	ENSG00000253286	0.0	0.0	42	1.0
ENSG00000280798.1	LINC00294	0.0	0.0	41	1.0
ENSG00000225216.6	ENSG00000225216	0.0	0.0	40	1.0
ENSG00000249092.1	PPIAP77	0.07692307692307693	0.0	39	1.0
ENSG00000289116.1	ENSG00000289116	0.02564102564102564	0.0	39	1.0
ENSG00000112742.10	TTK	0.0	0.0	39	1.0
ENSG00000105889.16	STEAP1B	0.05263157894736842	0.0	38	1.0
ENSG00000136244.12	IL6	0.05263157894736842	0.0	38	1.0
ENSG00000179428.2	IL6-AS1	0.05263157894736842	0.0	38	1.0
ENSG00000159658.15	EFCAB14	0.0	0.0	38	1.0
ENSG00000078140.14	UBE2K	0.02702702702702703	0.0	37	1.0
ENSG00000286913.1	ENSG00000286913	0.0	0.0	37	1.0
ENSG00000163430.13	FSTL1	0.19444444444444445	0.0	36	1.0
ENSG00000182896.13	TMEM95	0.1111111111111111	0.0	36	1.0
ENSG00000263171.1	ENSG00000263171	0.1111111111111111	0.0	36	1.0
ENSG00000213713.3	PIGCP1	0.0	0.0	36	1.0
ENSG00000236653.3	LINC01923	0.02857142857142857	0.0	35	1.0
ENSG00000066651.20	TRMT11	0.0	0.0	34	1.0
ENSG00000286155.1	ENSG00000286155	0.0	0.0	34	1.0
ENSG00000261209.1	SULT1C2P2	0.09090909090909091	0.0	33	1.0
ENSG00000272832.1	ENSG00000272832	0.06060606060606061	0.0	33	1.0
ENSG00000129170.10	CSRP3	0.0	0.0	33	1.0
ENSG00000255413.1	ENSG00000255413	0.0	0.0	33	1.0
ENSG00000260951.2	ENSG00000260951	0.0625	0.0	32	1.0
ENSG00000250826.2	HNRNPA3P13	0.0	0.0	32	1.0
ENSG00000251005.1	H3P15	0.0	0.0	32	1.0
ENSG00000105679.9	GAPDHS	0.03225806451612903	0.0	31	1.0
ENSG00000238024.1	DDX39BP2	0.0	0.0	31	1.0
ENSG00000251072.2	LMNB1-DT	0.0	0.0	31	1.0
ENSG00000264304.1	ENSG00000264304	0.23333333333333334	0.0	30	1.0
ENSG00000100591.8	AHSA1	0.03333333333333333	0.0	30	1.0
ENSG00000151445.16	VIPAS39	0.03333333333333333	0.0	30	1.0
ENSG00000174903.16	RAB1B	0.03333333333333333	0.0	30	1.0
ENSG00000254762.1	KLC2-AS2	0.03333333333333333	0.0	30	1.0
ENSG00000248203.1	ENSG00000248203	0.034482758620689655	0.0	29	1.0
ENSG00000264717.6	NPY4R2	0.034482758620689655	0.0	29	1.0
ENSG00000184617.10	ZNF840P	0.0	0.0	29	1.0
ENSG00000211810.3	TRAV29DV5	0.0	0.0	29	1.0
ENSG00000293480.1	TCAM1P	0.14285714285714285	0.0	28	1.0
ENSG00000127533.4	F2RL3	0.14814814814814814	0.0	27	1.0
ENSG00000227345.9	PARG	0.037037037037037035	0.0	27	1.0
ENSG00000232668.1	ENSG00000232668	0.037037037037037035	0.0	27	1.0
ENSG00000233733.1	H2AZP6	0.0	0.0	27	1.0
ENSG00000235142.12	LINC02532	0.0	0.0	25	1.0
ENSG00000276696.1	Y_RNA	0.041666666666666664	0.0	24	1.0
ENSG00000202407.1	Y_RNA	0.0	0.0	23	1.0
ENSG00000140932.10	CMTM2	0.0	0.0	22	1.0
ENSG00000263800.1	MIR5684	0.0	0.0	22	1.0
ENSG00000267212.1	ENSG00000267212	0.0	0.0	22	1.0
ENSG00000215018.10	COL28A1	0.0	0.0	21	1.0
ENSG00000252242.1	RNU7-115P	0.0	0.0	21	1.0
ENSG00000152034.11	MCHR2	0.05	0.0	20	1.0
ENSG00000200041.1	Y_RNA	0.05	0.0	20	1.0
ENSG00000225264.4	ZNRF2P2	0.05	0.0	20	1.0
ENSG00000291213.1	DPY19L2P3	0.05	0.0	20	1.0
ENSG00000293330.1	ENSG00000293330	0.05	0.0	20	1.0
ENSG00000163938.17	GNL3	0.0	0.0	19	1.0
ENSG00000228872.2	CSP1	0.0	0.0	19	1.0
ENSG00000286480.1	ENSG00000286480	0.0	0.0	19	1.0
ENSG00000085552.18	IGSF9	0.05555555555555555	0.0	18	1.0
ENSG00000213235.3	EEF1A1P16	0.0	0.0	18	1.0
ENSG00000260272.1	ENSG00000260272	0.0625	0.0	16	1.0
ENSG00000185482.8	STAC3	0.0	0.0	16	1.0
ENSG00000271874.1	RAI14-DT	0.0	0.0	16	1.0
ENSG00000119574.13	ZBTB45	0.0	0.0	15	1.0
ENSG00000158796.17	DEDD	0.0	0.0	15	1.0
ENSG00000279796.1	ENSG00000279796	0.0	0.0	15	1.0
ENSG00000287802.1	ENSG00000287802	0.0	0.0	15	1.0
ENSG00000236888.1	RPS20P5	0.0	0.0	14	1.0
ENSG00000225711.1	ENSG00000225711	0.0	0.0	13	1.0
ENSG00000253776.1	ENSG00000253776	0.0	0.0	13	1.0
ENSG00000207293.1	Y_RNA	0.25	0.0	12	1.0
ENSG00000235091.2	ENSG00000235091	0.0	0.0	12	1.0
ENSG00000276902.1	Y_RNA	0.0	0.0	11	1.0
ENSG00000222721.1	RN7SKP188	0.0	0.0	10	1.0
ENSG00000261611.6	ENSG00000261611	0.0	0.0	9	1.0
ENSG00000264695.1	ENSG00000264695	0.0	0.0	9	1.0
ENSG00000248546.3	ANP32CP	0.2857142857142857	0.0	7	1.0
ENSG00000244080.3	RN7SL833P	0.14285714285714285	0.0	7	1.0
ENSG00000237160.2	ENSG00000237160	0.0	0.0	6	1.0
ENSG00000243547.1	HNRNPKP4	0.0	0.0	6	1.0
ENSG00000264630.5	PRKCA-AS1	0.4	0.0	5	1.0
ENSG00000101384.12	JAG1	0.0	0.0	5	1.0
ENSG00000267051.1	ENSG00000267051	0.0	0.0	5	1.0
ENSG00000140416.25	TPM1	0.0	0.0	4	1.0
ENSG00000210195.2	MT-TT	0.0	0.0	4	1.0
ENSG00000267083.1	KRT18P61	0.0	0.0	3	1.0
ENSG00000277437.1	ENSG00000277437	1.0	1.0	2	1.0
